################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   8.7060958519836429E-01   1.3632467331514322E+01   7.6949848695394891E+00   1.8833825288013790E+00
         1          2   9.6072634606229157E-01   7.6865215453996862E+00   4.3527590522480271E+00   9.2334694652724814E-01
         1          3   8.5011364945675572E-01   1.2624351723340371E+01   7.0084294465145431E+00   1.7058782045302285E+00
         1          4   9.5163167180121244E-01   7.1082201204262123E+00   4.0097628136546799E+00   8.3505951601998807E-01
         1          5   8.0627810602776384E-01   1.0750628649882618E+01   5.7519995930120835E+00   1.3829316275438721E+00
         1          6   9.3147792021385101E-01   6.0559924573992232E+00   3.3830402376402522E+00   6.7486980381997741E-01
         1          7   7.4472628675663088E-01   8.6432334119409724E+00   4.3805719630392339E+00   1.0339564714936971E+00
         1          8   9.0158201799347704E-01   4.9356652673044143E+00   2.7014553972098647E+00   5.0303607980869647E-01
         1          9   5.5412626966101053E-02   1.3978895063030596E+00   5.5420511727976252E-01   1.1455566809933575E-01
         1         10   3.0514552836515640E-01   1.0355959420991496E+00   5.6220926236692359E-01   6.4048045950500621E-02
         1         11   3.1989071343511066E-01   5.0559703512544800E+00   2.2212710610683830E+00   4.9667280023760363E-01
         1         12   8.0925591698086052E-01   3.1323949726170386E+00   1.6390223323225155E+00   2.4694260192567671E-01
         1         13   2.6252336435539079E-03   2.3779779722212771E-01   8.2591896265645476E-02   1.4415993833067336E-02
         1         14   4.8908092667836793E-02   2.8156862175464376E-01   1.7267961846162896E-01   1.2374022203388882E-02
         1         15   2.1599860963082500E-03   3.7210325573353999E-02   2.4269156927754505E-02   1.7652599206533527E-03
         1         16   0.0000000000000000E+00   2.2301738075480846E+00   7.5301195952918720E-01   3.1703654676472542E-01
         1         17   0.0000000000000000E+00   4.2002202743793884E+00   1.0863381545114423E+00   3.9977266907762116E-01
         1         18   1.2364524791075537E-01   1.9360724804974431E+01   4.3501273039243369E+00   1.7328449883821784E+00
         1         19   1.3863085090298815E+00   4.1564093580091409E+01   1.3202533572375419E+01   4.1475020928691348E+00
         1         20   9.7580924421851768E-03   1.0695233156065228E+01   2.2979383435701499E+00   9.5645990220471455E-01
         1         21   1.1941959008022567E+00   3.2898601931182242E+01   1.1150344612021243E+01   3.3455696925736791E+00
         1         22   7.7010940346821570E-04   7.2829365856403809E+00   1.6023255223546060E+00   6.8191932420011225E-01
         1         23   1.0281869196041487E+00   2.7645406852697896E+01   9.7937684728826042E+00   2.8444468450518974E+00
         1         24   6.0777093148480402E-05   5.5032262178000506E+00   1.2633448902779572E+00   5.5257789374386879E-01
         1         25   8.8525537638746354E-01   2.4024797976798030E+01   8.7938245228828329E+00   2.4957247479828841E+00
         1         26   1.0285830367175931E-01   1.3451990898714234E+01   2.7700560304663453E+00   1.0985344055078052E+00
         1         27   0.0000000000000000E+00   4.2972105070465298E+00   9.4323807163387141E-01   3.6886896532400865E-01
         1         28   1.0386745046708215E+00   2.9534682784970567E+01   8.8566758821028930E+00   2.6345737256838349E+00
         1         29   0.0000000000000000E+00   5.0335249903392674E+00   1.0889093538130732E+00   4.2462973086195560E-01
         1         30   4.0293706969014832E-02   7.0197142968999762E+00   1.2488650274407989E+00   4.8978840466702728E-01
         1         31   4.4381777187242072E-01   1.6406881324858464E+01   4.5497189449943125E+00   1.2087935064545072E+00
         1         32   3.2341379082030608E-02   4.0891542072959908E+00   1.1184998526996093E+00   2.1910186319942099E-01
         2          1   1.9283369115880160E+00   1.4384208826776394E+01   8.7055181044960399E+00   1.7986327535409745E+00
         2          2   0.0000000000000000E+00   6.5920464245134323E+00   3.3292201865210176E+00   8.7376460296764069E-01
         2          3   1.9112967621913435E+00   1.3325384998478320E+01   8.0195256273093651E+00   1.6222098788044432E+00
         2          4   0.0000000000000000E+00   6.0305047581761437E+00   2.9862840673163737E+00   7.8431320856157949E-01
         2          5   1.6019933637300139E+00   8.5003410841515841E+00   5.0483491562518621E+00   9.1764548188809558E-01
         2          6   1.8739696221299622E+00   1.1362754866250496E+01   6.7660804752804928E+00   1.3020695470073953E+00
         2          7   0.0000000000000000E+00   4.9807303250930053E+00   2.3617927672377226E+00   6.2210117590399405E-01
         2          8   0.0000000000000000E+00   1.9511548619592143E+00   8.2592866843826163E-01   2.2222581382972348E-01
         2          9   1.8191736528465041E+00   9.1740492826816560E+00   5.4029107944197321E+00   9.5858780692690948E-01
