################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.2197547946216617E-02 a         1     0     1     1     1
 -6.1822915366020070E-01 a         2     0     1     1     2
  6.3081420552226763E-01 a         3     0     1     1     3
 -3.4588851944209842E+00 a         4     0     1     1     4
 -5.1362723873954161E+00 a         5     0     1     1     5
  7.6680302454763705E-01 a         6     0     1     1     6
  2.0688516689022252E+00 a         7     0     1     1     7
 -4.0451882471929568E-01 a         8     0     1     1     8
 -3.8763579789519569E+00 a         9     0     1     1     9
  4.3241211417992327E+00 a        10     0     1     1    10
  1.8114281224439304E+00 a        11     0     1     1    11
 -1.2737085153142120E+00 a        12     0     1     1    12
 -2.2182338571946181E+00 a        13     0     1     1    13
 -2.6710000561109988E+00 a        14     0     1     1    14
  1.8201476545419477E+00 a        15     0     1     1    15
 -1.0833968591402532E+00 a        16     0     1     1    16
 -2.4113919177853038E+00 a        17     0     1     1    17
  3.2968462352747392E+00 a        18     0     1     1    18
  1.4272960890029995E+00 a        19     0     1     1    19
  2.6684983800268154E+00 a        20     0     1     1    20
 -3.1399017446848823E+00 a        21     0     1     1    21
  6.0668411299687974E-01 a        22     0     1     1    22
  3.9462438825668848E-02 a        23     0     1     1    23
 -7.0063548336216031E-01 a        24     0     1     1    24
 -1.5433570375498831E+00 a        25     0     1     1    25
 -2.2456290040873412E+00 a        26     0     2     1     1
  6.1240987204078596E+00 a        27     0     2     1     2
  2.7065979469872403E-01 a        28     0     2     1     3
 -4.0637375510371859E-01 a        29     0     2     1     4
 -5.5986677247961936E+00 a        30     0     2     1     5
 -1.7473447718946713E+00 a        31     0     2     1     6
 -3.3231717813064261E+00 a        32     0     2     1     7
 -4.3240442124985634E+00 a        33     0     2     1     8
  8.6283497506514528E-01 a        34     0     2     1     9
 -3.4399287627298194E+00 a        35     0     2     1    10
 -1.4070415990371374E-01 a        36     0     2     1    11
  1.5279116630114766E+00 a        37     0     2     1    12
  1.9736050744527249E+00 a        38     0     2     1    13
  1.9168539619550171E+00 a        39     0     2     1    14
 -1.3743822098982439E+00 a        40     0     2     1    15
  1.3882919311591215E+00 a        41     0     2     1    16
 -1.0860404068829681E+00 a        42     0     2     1    17
  5.5566202256921651E+00 a        43     0     2     1    18
 -2.6611738025953247E+00 a        44     0     2     1    19
 -7.0379856222022763E-01 a        45     0     2     1    20
 -2.1813032076847816E+00 a        46     0     2     1    21
 -8.5880487423397323E-01 a        47     0     2     1    22
  6.5204415944252716E+00 a        48     0     2     1    23
 -4.4320099652401257E-01 a        49     0     2     1    24
 -1.8540470643464688E-01 a        50     0     2     1    25
  3.2763067240725069E-01 a        51     0     3     1     1
 -2.1718102784894533E-01 a        52     0     3     1     2
 -2.7697727137583256E-01 a        53     0     3     1     3
 -1.6028817563060000E+00 a        54     0     3     1     4
 -1.3066092266870617E+00 a        55     0     3     1     5
 -4.9568681902507428E-01 a        56     0     3     1     6
  5.2594080526511744E-01 a        57     0     3     1     7
  9.3422753872651310E-01 a        58     0     3     1     8
 -3.9058952249317408E-01 a        59     0     3     1     9
  1.1398205415309099E+00 a        60     0     3     1    10
 -6.9360846432437118E-01 a        61     0     3     1    11
 -1.9257574054463207E+00 a        62     0     3     1    12
 -1.0557351350466542E+00 a        63     0     3     1    13
 -1.3889300484896936E+00 a        64     0     3     1    14
  8.0763762661666427E-01 a        65     0     3     1    15
 -7.3415311006489525E-01 a        66     0     3     1    16
  2.0826909494969134E-01 a        67     0     3     1    17
 -6.4461260081838534E-01 a        68     0     3     1    18
  5.3958010410939428E-01 a        69     0     3     1    19
  1.3168914647393015E-01 a        70     0     3     1    20
  4.6802749805138560E-01 a        71     0     3     1    21
 -8.5996642697594661E-02 a        72     0     3     1    22
 -2.5966130384487265E+00 a        73     0     3     1    23
 -6.2503058317894766E-01 a        74     0     3     1    24
 -2.5402014276529727E-01 a        75     0     3     1    25
  1.7429132824189697E+00 a        76     0     4     1     1
  3.9650143236694879E-01 a        77     0     4     1     2
 -1.0991221310975126E-01 a        78     0     4     1     3
 -7.9385216318776686E-01 a        79     0     4     1     4
